TICKER,NAME,RETURN,RISK,MKTCAP,TURNOVER_RATIO,AMIHUD_ILLIQUIDITY,VOLUME
VLT,Veltor,0.012795945,0.235609823,320629.7383,0.006783818,0.002105858,1671.76584
DASH,Dash,0.012751864,0.076525669,1829707489,0.035640384,3.61E-09,64213632.84
NXT,Nxt,0.012731021,0.106347883,126199632.3,0.166487107,9.98E-08,23214067.62
BURST,Burst,0.012647157,0.102538835,14516536.61,0.0608764,8.11E-07,1445741.645
HYP,HyperStake,0.012637888,0.216357767,990557.584,0.006269086,0.019377348,4466.853994
FRC,Freicoin,0.012634553,0.221785928,118111.6295,0.093730981,0.007763992,5987.289157
XMY,Myriad,0.012546224,0.15015136,3505099.033,0.06707365,5.67E-06,231616.697
NSR,NuShares,0.012536314,0.178541468,2993283.215,0.023936675,0.000382115,20202.63536
ETH,Ethereum,0.012532132,0.070413931,20702914909,0.032255384,3.76E-10,731552096.5
SMC,SmartCoin,0.012518659,0.166421582,336316.2452,0.00558442,0.00416522,1184.986226
SYS,Syscoin,0.012507766,0.104086429,73679887.33,0.031675135,2.80E-07,3183448.369
FJC,FujiCoin,0.012493895,0.251567296,520150.2039,0.008978215,0.009663087,4719.807163
XMG,Magi,0.012480404,0.13688654,1175072.196,0.071624294,2.08E-05,160104.3471
DMD,Diamond,0.012433779,0.10237347,10602095.44,0.008210889,3.65E-05,94908.92837
UBQ,Ubiq,0.012412716,0.164247305,41899787.48,0.018183127,1.42E-05,811511.3466
BTCD,BitcoinDark,0.012411696,0.143655739,75769414.35,0.010507725,2.85E-06,364781.7025
ELE,Elementrem,0.012328078,0.26178573,285146.9229,0.003905312,0.006408188,615.3333333
GNT,Golem,0.012267099,0.104687382,194706593.4,0.024486259,3.55E-07,5384444.11
BLU,BlueCoin,0.012246217,0.197338653,1394707.766,0.00454534,0.003824757,2616.024793
BOLI,Bolivarcoin,0.012180321,0.222014339,103510.2039,0.040298876,0.002043212,1626.440771
INFX,Influxcoin,0.012132636,0.149226485,617675.1846,0.084952054,0.000300628,70096.13223
GAM,Gambit,0.012044167,0.100825451,6971023.317,0.005995752,0.000516819,44777.31956
OK,OKCash,0.012014024,0.142763384,10860771.87,0.081422366,2.10E-05,1864752.675
GUN,Guncoin,0.012007466,0.192716147,110205.9229,0.001361998,0.009602416,172.84573
ACOIN,Acoin,0.011991907,0.190820049,72178.2259,0.127694967,0.004915326,1993.093664
TGC,Tigercoin,0.011894021,0.244066414,102876.2825,0.002086261,0.021229318,89.21883657
CRB,Creditbit,0.011736112,0.168552554,6796807.733,0.053506349,2.00E-05,356186.5592
FST,Fastcoin,0.011720576,0.199434157,805825.1405,0.03051368,0.000484331,14985.41047
GEO,GeoCoin,0.011701551,0.248098213,2028185.176,0.043298443,0.000172666,150626.4683
FTC,Feathercoin,0.011681142,0.110010394,12985710.48,0.044138896,3.57E-06,634670.438
FLO,FlorinCoin,0.011636712,0.113685096,7770664.287,0.040917783,6.54E-06,369652.2562
TROLL,Trollcoin,0.011575385,0.180957062,361019.5758,0.001454717,0.007078519,825.5371901
AEON,Aeon,0.011533319,0.118977978,13701196.23,0.008104662,1.01E-05,184720.6419
VOX,Voxels,0.011515815,0.150224273,10634066.5,0.145970863,1.41E-06,2105213.675
2GIVE,2GIVE,0.0114862,0.144059886,1965206.507,0.024573336,0.003386103,78485.16529
