Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
5/08/2017,3.258351447,0.998314,10.3902439,14.31665356,31.39657283,14.50944112,3.477451682,17.26001781,98.37243361,19.51907176,24.18965517,41.91528773,98.84307076,4.281411182,66.46976744,9.66706973,29.01020729,1.096995788,0.936446174,0.971048138,1.030975173
6/08/2017,3.219316258,1,10,13.21765631,32.01591187,14.37632698,3.423765211,16.84149599,92.8458924,23.54036201,23.36206897,37.55421092,107.2327465,4.256240974,72.18546512,9.149939541,28.33605528,1.096995788,0.936446174,0.971048138,1.030975173
7/08/2017,3.384592269,0.996254,10.15521064,14.42371215,32.94736842,14.24321284,3.594130279,17.55921638,105.2806101,25.48323258,24.77586207,38.42850086,131.696759,4.304518259,81.48866279,8.94598952,28.11259422,1.098802833,0.935797665,0.958292153,1.029866726
8/08/2017,3.425660854,1,10.7827051,13.65080613,36.32435741,15.70746837,3.717967072,18.15138023,108.7346984,24.44402274,24.84482759,39.35169178,128.8061985,5.064576026,79.98343023,9.5675131,30.24277638,1.096149843,0.934500649,0.955103177,1.025062836
9/08/2017,3.348061262,1,10.64523282,13.85165159,36.23378213,15.17501181,3.64781675,17.73909172,104.0371384,23.81146023,23.98275862,37.46233638,153.3407125,5.011347225,81.36133721,9.268843208,28.72911432,1.09575123,0.939688716,0.971845302,1.022106591
10/08/2017,3.386936183,0.992991,10.31042129,13.52585529,36.21664627,14.50944112,3.541159628,17.89492431,109.2873525,25.30250043,22.62068966,39.50037046,255.0743438,4.753455746,85.50436047,8.870213624,28.32898869,1.079890869,0.924773022,0.993371051,1.014346649
11/08/2017,3.656726734,1,10.44345898,13.74655918,37.80416157,14.57599819,3.625626342,18.32502226,104.727956,25.03140221,27.65517241,46.97678439,236.179948,4.83536208,85.81773256,8.657799274,28.15750628,1.081268297,0.930609598,0.992573728,1.008064752
12/08/2017,3.891208318,1,10.29490022,13.5118954,38.01713586,15.57435423,3.534001432,18.2983081,93.81303711,22.81743342,25.72413793,42.44406026,258.1059073,4.607179699,80.83866279,8.148730351,27.30103643,1.081268297,0.930609598,0.992573728,1.008064752
13/08/2017,4.080073723,0.998616,10.15742794,13.80249705,36.48225214,14.90878354,3.418754474,17.64648264,90.08262179,21.64267447,25.17241379,38.83428007,328.8893902,4.421497834,74.80784884,7.355904877,26.39635678,1.081268297,0.930609598,0.992573728,1.008064752
14/08/2017,4.33236505,0.998163,10.15521064,13.15011797,36.73194614,15.17501181,3.561202577,17.75957257,83.58893586,21.32639322,22.70689655,36.64682638,334.3885054,4.337322055,74.43255814,7.102781137,26.69456658,1.092128282,0.915693904,0.984601367,1.025432357
15/08/2017,4.188925506,1,9.603104213,12.9360991,35.47368421,14.44288405,3.488904796,18.12288513,84.14158999,21.64267447,23.82758621,37.07532724,334.8115143,4.377346812,72.07209302,7.026602177,25.31736809,1.091583512,0.915693904,0.978223414,1.021737108
16/08/2017,4.383951199,1,9.789356984,12.79296107,36.99755202,14.90878354,3.491768074,20.66073019,83.58893586,21.82340662,23.96551724,35.02198074,321.0637263,4.47183825,75.00348837,7.135026199,25.1933103,1.093133673,0.90920882,0.988587507,1.025062836
17/08/2017,4.338936023,1.01,9.736141907,12.13350374,36.89840881,13.84387043,3.396564066,20.8032057,84.97057117,20.69383071,22.36206897,33.22499383,286.8705099,4.310913967,71.20784884,6.983877469,24.73272613,1.076259063,0.907911803,0.994168375,1.01841138
18/08/2017,4.167579858,1.01,10.48337029,11.44081793,36.17992656,13.37797094,3.342161775,19.9715049,77.64790406,19.42870569,20.60344828,31.6495431,273.8982382,4.1471013,70.71046512,6.788391778,24.95021985,1.074283715,0.926718547,0.979817823,1.008803756
19/08/2017,4.200715194,1,10.08425721,12.22040897,36.41003672,18.96876477,4.005726557,25.7079252,78.20055818,20.01608516,20.15517241,31.20375401,281.7944036,4.814111822,74.45843023,6.655783958,24.34940327,1.074283715,0.926718547,0.979817823,1.008803756
20/08/2017,4.094497811,0.996629,10.25055432,13.43314982,36.89473684,22.62940358,3.916249105,26.19768477,79.16770289,21.95895573,20.86206897,32.67819215,269.2451407,4.973591913,78.90726744,7.106408706,24.92697864,1.074283715,0.926718547,0.979817823,1.008803756
21/08/2017,4.008434085,0.999263,10.62971175,12.99036571,39.3623011,18.0369658,5.570508232,24.89581478,75.5754511,19.83535302,20.53448276,32.05038281,248.8702138,4.932122963,73.38837209,7.961708988,30.13787688,1.075532702,0.91309987,0.990979319,1.019520021
22/08/2017,4.107379323,1.01,10.36141907,12.67282737,38.52998776,19.36810718,6.525411596,25.95725735,78.47688524,20.15163427,20.75862069,32.65176587,252.7477951,4.697957499,73.8630814,8.715840387,37.5763191,1.086224384,0.916342412,0.983804043,1.016933373
23/08/2017,4.158464636,1,11.80709534,13.41378293,38.86413709,20.29990615,6.465998568,26.05253785,81.24015585,20.78419678,23.22413793,34.07162262,282.005908,4.710129977,72.55901163,8.15114873,38.76052136,1.082472994,0.922178988,0.987790343,1.026910519
24/08/2017,4.341931025,1,11.1286031,13.60361777,39.85434517,24.42644445,6.176807445,28.08281389,82.89811821,22.68188431,24.44827586,33.65942208,296.4587108,4.706210027,77.18372093,7.667875857,34.38410804,1.080227475,0.92153048,0.990182075,1.023584829
